阿党比周    相互勾结，相互偏袒，结党营私。
积露为波    喻积少成多。
积年累岁    见“积年累月”。
积年累月    谓时间长久。
积箧盈藏    物箱堆积，库藏充盈。形容积聚的财物多。
积日絫久    久经时日。絫，同“累”。
积日累岁    形容时间长久。
积日累月    同“积年累月”。
积沙成滩    喻积少成多。
积善馀庆    谓积德行善之家，恩泽及于子孙。语出《易·坤》：“积善之家，必有馀庆；积不善之家，必有馀殃。”
积少成多    谓只要不断积累，就会从少变多。语出《汉书·董仲舒传》：“众少成多，积小致钜。”
积时累日    形容时间长久。
积思广益    三国蜀诸葛亮《教与军师长史参军掾属》：“夫参署者，集众思，广忠益也。”后以“集思广益”指集中众人的智慧，可使效果更大更好。集，亦作“积”。
积素累旧    谓多年交往。
积岁累月    见“积年累月”。
积微成著    见“积微致著”。
积微致著    《荀子·大略》：“夫尽小者大，积微者箸，德至者色泽洽，行尽而声问远。”后以“积微致著”谓事细微时人所不察，积多积久便成显著。行尽而声问远。”后以“积微致著”谓事细微时人所不察，积多积久便成显著。
积習生常    谓积弊已久，习以为常。
积薪厝火    ①谓在柴堆之下置火。喻隐伏着严重的危机。②指苟安。
积薪候燎    喻自取灭亡。燎，火炬。
积羞成怒    又作：恼羞成怒。谓羞愧至极，转生愤怒。
积雪封霜    《南史·齐江夏王锋传》：“常忽忽不乐，著《修栢赋》以见志，曰：‘……冲风不能摧其枝，积雪不能改其性。’”晋陆机《拟兰若生朝阳》诗：“嘉树生朝阳，凝霜封其条。”后以“积雪封霜”形容操守高洁坚贞。
积雪囊萤    晋孙康性敏好学，家贫无油，于冬月尝映雪读书。见《尚友录》卷四。又晋车胤博学多通，家贫不常得油，于夏月以练囊盛数十萤火照书。见《晋书·车胤传》。后以“积雪囊萤”为勤苦读书、求学上进的典实。
积以为常    同“習以为常”。谓习惯成自然。
积忧成疾    谓长期忧虑酿成疾病。
积羽沉舟    积轻成重。比喻积小患可致大灾。
积重不反    见“积重难反”。
积重不返    见“积重难反”。
积重难反    积习深久，不易改变。多指恶习或弊端发展到难以革除的地步。
积重难返    见“积重难反”。
积铢累寸    谓积聚不遗细小。
绩学之士    学问渊博的人；学者。
畸流洽客    高行脱俗、广见博闻之士。
畸流逸客    指高行脱俗的隐逸之士。
畸轻畸重    见“畸重畸轻”。
畸重畸轻    偏重偏轻，不合常规。
跻峰造极    又作：登峰造极。谓登上山峰绝顶。
箕风毕雨    《书·洪范》：“庶民惟星，星有好风，星有好雨。”孔传：“箕星好风，毕星好雨。”本喻百姓各有所好。后因以“箕风毕雨”谓官吏施政应顺应民情。
箕山挂瓢    相传许由隐居箕山之下，颍水之阳，躬耕自食，以手掬饮。人遗一瓢，挂于树，风吹历历作声，以为烦，弃之。事见明敬虚子《小隐书·许由》。后用为隐居不仕之典。
箕山之操    见“箕山之节”。
箕山之风    隐士的风范。
箕山之节    《吕氏春秋·求人》：“昔尧朝许由於沛泽之中，曰：‘……请属天下於夫子。’许由辞曰：‘为天下之不治与？而既已治矣。自为与？啁噍巢於林，不过一枝；偃鼠饮於河，不过满腹。归已君乎！恶用天下？’遂之箕山之下，颍水之阳，耕而食，终身无经天下之色。”后因“箕山之节”谓隐居不仕的节操。
箕山之志    见“箕山之节”。
箕翕斗<奭斗    用箕斗收取。谓苛敛民财。
箕引裘随    比喻子弟能继承父兄之业。
箕帚之使    持箕帚，以供扫除之役。借作己妻之谦称。
稽古揆今    考古衡今。
稽古振今    谓考查古事作为借鉴，以振兴现代。
稽疑送难    考察疑端，排除难点。
齑身粉骨    又作：粉身碎骨。
激薄停浇    谓遏制浇薄的社会风气。
激贪厉俗    谓抑制贪婪之风，劝勉良好的世俗。
激扬清浊    见“激浊扬清”。
激浊扬清    语出《尸子·君治》：“水有四德……扬清激浊，荡去滓秽，义也。”本指冲去污水，浮起清水。后用以喻斥恶奖善。
齎志而殁    谓怀抱着未遂的志愿而死去。语本南朝梁江淹《恨赋》：“齎志没地，长怀不已。”
齎志以没    见“齎志而殁”。
齎志以殁    见“齎志而殁”。
及宾有鱼    用别人的鱼请客。比喻借机培植私人势力。语本《易·姤》：“包有鱼，义不及宾也。”孔颖达疏：“言有他人之物，於义不可及宾也。”
及锋而试    ①《史记·高祖本纪》：“军吏士卒皆山东之人也。日夜企而望归，及其锋而用之，可以有大功。”谓乘军中士气旺盛之时用之。后以“及锋而试”比喻趁人有为之时加以任用。②喻乘可行之机而行事。
及瓜而代    指为官任职期满，由人接代。
及溺呼船    喻祸到临头，求救无及。
及时行乐    谓抓紧时机寻欢作乐。语本《古诗十九首·生年不满百》：“为乐当及时，何能待来兹”。
吉光凤羽    吉光与凤凰的毛羽。比喻艺术珍品。
吉光片裘    同“吉光片羽”。
吉光片羽    神兽吉光身上的一片毛。比喻残存的艺术珍品。
吉人天相    《左传·宣公三年》：“石癸曰：‘吾闻，姬、姞耦，其子孙必蕃。姞，吉人也。’”又《昭公四年》：“晋楚唯天所相，不可与争。”后因以“吉人天相”谓天佑善人。相，帮助，保佑。
吉人自有天相    同“吉人天相”。
吉日良辰    亦作“吉日良时”。吉利的日子，美好的时光。
吉日良时    见“吉日良辰”。
吉网罗钳    唐天宝初，李林甫为相，任酷吏吉温、罗希奭为御史。吉罗承李旨意，诬陷异己，制造冤狱，时称“罗钳吉网”。事见《旧唐书·酷吏传下·罗希奭》。后因以“吉网罗钳”比喻酷吏朋比为奸，陷害无辜。
吉祥如意    谓诸事吉利顺遂。
吉星高照    吉祥之星高照。旧时以为是万事顺遂之兆。亦用于比喻交好运。
岌岌可危    形容极其危险。
汲古阁本    版本名。指明毛晋汲古阁的刻本。也称毛本。参见“汲古阁”。
汲汲顾影    ①惶惶然自顾其影。形容孤苦失望的样子。②指频频地自顾其影。形容洋洋得意的样子。
汲深绠短    谓井深而吊绳短。语本《庄子·至乐》：“褚小者不可以怀大，绠短者不可以汲深。”后以“汲深绠短”喻力不胜任。
即景生情    由眼前景象而触发某种情绪、感想。
即鹿无虞    《易·屯》：“即鹿无虞，惟入于林中；君子几，不如舍，往吝。”孔颖达疏：“即，就也；虞，谓虞官。如人之田猎，欲从就於鹿，当有虞官助己，商度形势可否，乃始得鹿；若无虞官，即虚入于林木之中。”高亨注：“即鹿，又作：从鹿，逐鹿耳。”后因以喻条件不具备而盲目从事，徒劳无功。
即事穷理    谓根据事实深究它的道理。
即温听厉    《论语·子张》：“君子有三变：望之俨然，即之也温，听其言也厉。”后以“即温听厉”称面受尊者的教诲。
即物穷理    程硃理学的主要范畴之一。谓“理”在物先，事事物物皆是“理”的表现，要依据具体事物穷究其“理”。
即小见大    从小处或小事见到大道理。
极本穷源    谓彻底地推究本源。
极恶不赦    罪大恶极，不可饶恕。
极恶穷凶    谓极端凶恶。
极古穷今    谓穷尽古今。
极口项斯    谓满口赞誉。项斯、唐代诗人，为杨敬之所器重，敬之赠诗有“平生不解藏人善，到处逢人说项斯”之句。
极乐世界    佛经中指阿弥陀佛所居住的国土，俗称西天。佛教徒认为居住在这里，就可获得一切欢乐，摆脱人间一切苦恼。
极情尽致    谓将意趣风致表现得很充分。
极情纵欲    竭力满足自己的情感和贪欲而不加节制。
极深研几    谓探讨研究事物的深奥隐微之处。
极寿无疆    谓永存。
极天际地    ①形容十分盛大。②谓无所不至，无所不到。
极天蟠地    谓充塞天地之间。语本《礼记·乐记》：“及夫礼乐之极乎天而蟠乎地，行乎阴阳而通乎鬼神。”
极天罔地    谓遍天下。
极往知来    通晓过去，预知未来。
极武穷兵    黩武。滥用武力。
极则必反    谓事物发展到极端，就会向相反的方面转化。
极智穷思    竭尽才智和思虑。
极重不反    同“极重难返”。
极重难返    犹积重难返。指长期形成的风俗、习惯、弊端或某种局面难以改变。用于消极方面。
亟疾苛察    谓急剧猛烈，以苛刻烦琐为明察。
佶屈聱牙    形容文句艰涩，不通顺暢达。
急不及待    见“急不可待”。
急不可待    急得不能再等待。形容十分急迫。
急不可耐    见“急不可待”。
急不择途    犹慌不择路。
急不择言    急得来不及选择词句。
急杵捣心    形容惊异不安的心情。
急处从宽    在紧急情况下并不紧张。
急风暴雨    见“急风骤雨”。
急风骤雨    急剧的风雨。常用以形容声势浩大而迅猛。
急公好施    谓热心公益，乐于施舍。
急公好义    热心公益，见义勇为。
急功好利    见“急功近利”。
急功近利    急于谋求眼前的功利。语本汉董仲舒《春秋繁露·对胶西王》：“仁人者正其道不谋其利，修其理不急其功。”
急功近名    急于求成，贪图虚名。
急管繁弦    形容节拍急促，演奏热闹的乐奏。
急景流年    形容光阴易逝。
急吏缓民    对官员严格，对百姓宽和。
急敛暴徵    严急而苛猛的赋税。
急流勇退    宋陈抟约钱若水相晤。钱至，见陈与一老僧拥炉而坐。僧视若水良久，以火箸画灰作“做不得”三字，徐曰：“是急流中勇退人也。”意思说钱若水做不了神仙，但也不是久恋官场的人。后钱官至枢密副使，年四十即退休。见宋邵伯温《闻见前录》卷七。后因以“急流勇退”比喻在官场得意时及时引退，以明哲保身。
急脉缓灸    原指中医遇急促的脉象时治以缓和的灸法。比喻以和缓的方法对付急事。亦借喻在撰写诗文时，有意放松笔调，以造成顿挫之势。
急脉缓受    见“急脉缓灸”。
急拍繁弦    又作：急管繁弦。
急起直追    立即行动起来，努力向前追趕。
急如星火    像流星一样急促闪过。形容非常急迫。
急痛攻心    心里感到极度的焦急与悲痛。
急於求成    急欲达到目的。
急於星火    比一闪而过的流星还快。形容非常急迫。
急中生智    在紧急的时候猛然想出了办法。
急竹繁丝    见“急管繁弦”。
急转直下    ①谓情况突然转变而很快地顺势向下发展。②谓顺势立刻转变话题。
疾病相扶    有病互相扶助。借指患难时互相关心、帮助。
疾恶如仇    痛恨坏人坏事像痛恨仇敌一样。
疾恶如雠    同“疾恶如仇”。
疾恶如风    痛恨坏人坏事像狂风猛扫一样。
疾恶若雠    同“疾恶如仇”。
疾风暴雨    ①急遽而猛烈的风雨。②形容声势浩大的运动。③形容（战斗）非常激烈。
疾风劲草    见“疾风知劲草”。
疾风扫秋叶    比喻力量强大，进展迅速，所向无阻。
疾风甚雨    谓大风急雨。语出《礼记·玉藻》：“君子之居恆当户，寝恆东首，若有疾风、迅雷、甚雨，则必变，虽夜必兴，衣服冠而坐。”
疾风迅雷    ①猛烈的风，急遽的雷。②形容猛烈的气流和巨大的响声。
疾风彰劲草    又作：疾风知劲草。
疾风知劲草    在猛烈的大风中，可看出什么样的草是强劲的。比喻节操坚定，经得起考验。
疾雷不及塞耳    同“疾雷不及掩耳”。
疾雷不及掩耳    比喻事情来得突然，使人不及防备。
疾雷不暇掩耳    同“疾雷不及掩耳”。
疾声厉色    同“疾言厉色”。
疾首蹙额    亦作“疾首蹙頞”。厌恶愁苦貌；厌恶憎恨貌。
疾首蹙頞    见“疾首蹙额”。
疾首嚬蹙    又作：疾首蹙额。
疾首痛心    ①伤心到极点。②痛恨到极点。
疾言倨色    见“疾言遽色”。
疾言遽色    言语神色粗暴急躁。
疾言厉气    又作：疾言厉色。
疾言厉色    言语急促，神色严厉。形容对人发怒或感情激动时说话的神情。
疾言怒色    又作：疾言厉色。
疾雨暴风    见“疾风暴雨”。
疾走先得    同“疾足先得”。
疾足先得    行动迅速的先达到目的。
棘地荆天    到处都是荆棘。形容变乱后的残破景象或困难重重的处境。
集矢之的    比喻众人所指摘的对象。
集思广议    谓集中众人智慧，广泛进行议论。
集思广益    谓集中众人智慧，博采有益的意见。语本三国蜀诸葛亮《教与军师长史参军掾属》：“夫参署者，集众思，广忠益也。”
集腋成裘    比喻积少成多。腋，指狐狸腋下的毛皮。语本《慎子·知忠》：“故廊庙之材，盖非一木之枝也；粹白之裘，盖非一狐之皮也。”钱熙祚校注：“粹，原作狐；依《意林》引此文改。《意林》皮作腋。”
集腋为裘    见“集腋成裘”。
嫉恶如仇    亦作“嫉恶若仇”。对坏人坏事如同对仇敌一样憎恨。
嫉恶若仇    见“嫉恶如仇”。
嫉贪如雠    对贪污如同对仇敌一样痛恨。
嫉贤傲士    嫉妒和轻慢有才德的人。
嫉贤妒能    对品德、才能比自己强的人心怀嫉妒。
辑志协力    同心合力。
瘠牛偾豚    谓瘦弱的牛覆压在小猪上，小猪必死。比喻强国虽德衰，兵临弱国，弱国亦亡。语本《左传·昭公十三年》：“寡君有甲车四千乘在，虽以无道行之，必可畏也，况其率道，其何敌之有！牛虽瘠，偾於豚上，其畏不死。”杜预注：“偾，仆也。”孔颖达疏：“前覆曰仆。言牛倒豚上，豚必死也。言牛虽瘠者，谓鲁以晋为无德轻之，故以瘦牛自喻。”
瘠牛羸豚    瘦弱的牛和猪。比喻弱小民族或国家。
瘠义肥辞    内容贫乏而辞句堆砌冗长。
鹡鸰在原    《诗·小雅·常棣》：“脊令在原，兄弟急难。”脊令，后即以“鹡鸰在原”比喻兄弟友爱之情。
蹐地跼天    语出《诗·小雅·正月》：“谓天盖高，不敢不局，谓地盖厚，不敢不蹐。”后以“蹐地跼天”形容戒慎小心。
几次三番    多次，一次次。
己饥己溺    见“己溺己饥”。
己溺己饥    亦作“己饥己溺”。语出《孟子·离娄下》：“禹思天下有溺者，由己溺之也；稷思天下有饥者，由己饥之也，是以如是其急也。”后因以“己溺己饥”或“己饥己溺”谓视人民的疾苦是由自己所造成，因此解除他们的痛苦是自己不可推卸的责任。
挤眉溜眼    见“挤眉弄眼”。
挤眉弄眼    用眉眼传情或示意。
掎裳连袂    见“掎裳连襼”。
掎裳连襼    牵裙连袖。形容人多。
戟指嚼舌    戟指，伸出食、中指指人；嚼舌，咬破舌头。形容愤怒之极。
计不反顾    见“计无返顾”。
计不返顾    见“计无返顾”。
计不旋跬    谓计谋的实现十分神速。
计不旋踵    ①谓决不后退。旋踵，旋转脚跟。②谓要在顷刻间作出决策。
计出万全    谓谋划万无一失。
计出万死    谓谋划来自必死的决心。
计出无聊    谓主意出于无可奈何。语本《史记·吴王濞列传》：“上复责问吴使者，使者对曰：‘……今王始诈病，及觉，见责急，愈益闭，恐上诛之，计乃无聊。唯上弃之，而与更始。’”
计出无奈    同“计出无聊”。
计绌方匮    计谋不足，方略匮竭。
计斗负才    喻才高。相传南朝宋谢灵运曾称：“天下才共一石，曹子建独占八斗，我得一斗，天下共分一斗。”见宋无名氏《释常谈·八斗之才》。
计伐称勋    谓计算、称扬自己的功勋。伐，功勋。
计功补过    谓计算其功绩以补偿其过失。
计功程劳    计算功劳。
计功量罪    谓全面衡量其功罪是非。
计功谋利    计较功名，谋求私利。
计功受爵    衡量功绩而授予爵禄。受，授。
计功受赏    同“计功行赏”。受，授。
计功行封    又作：计功行赏。
计功行赏    计算功勋大小颁行赏赐。语出《韩非子·八说》：“计功而行赏，程能而授事。”
计过自讼    《论语·公冶长》：“吾未能见其过而内自讼者也。”后以“计过自讼”谓检讨自己的过错而内心自责。
计合谋从    谓计谋合乎君上之意而被采纳。
计获事足    又作：如愿以偿。
计较锱铢    谓为争取财利而斤斤较量，连极微小的数量也不放过。
计尽力穷    计谋、力量均穷尽。
计穷力极    见“计穷力竭”。
计穷力竭    计谋和力量皆已穷竭。
计穷力尽    见“计穷力竭”。
计穷力诎    见“计穷力屈”。
计穷力屈    计谋、力量均穷竭。
计穷虑极    谓计虑穷尽。
计穷虑尽    见“计穷虑极”。
计穷势蹙    无计可施，情势紧迫。
计穷势迫    见“计穷势蹙”。
计穷途拙    谓无计可施，无路可走。
计穷智极    见“计穷虑极”。
计然之策    相传越王勾践困于会稽之上，用计然之策，修之十年而国富；范蠡既雪会稽之耻，用计然之策于家而富至巨万。所谓计然之策，主要指“六岁穰六岁旱”的农业循环学说，农末俱利的平籴论，以及物价观测、贵出贱取等经商致富的“积著之理”。后因以泛指生财致富之道。
计然之术    见“计然之策”。
计日程功    可以数着日子算功效。极言进展快，不久可成功。
计日而待    又作：为期不远。
计日而俟    见“计日而待”。
计日可待    亦作“计日可期”。同“计日而待”。
计日可期    见“计日可待”。
计日以待    见“计日而待”。
计日以期    见“计日以俟”。
计日以俟    数着日子等待。极言盼望之殷切。
计日指期    谓计数天数，以估定行程和到达期。
计日奏功    可以数日子看到功效。谓成功极快。
计上心来    计谋涌上心头。旧时小说戏曲中常用语。
计上心头    见“计上心来”。
计深虑远    计划、考虑周密深远。
计无返顾    谓不作回头、后退的打算。
计无复之    谓再无别的办法可想，不得不如此。语本《史记·季布栾布列传论》：“夫婢妾贱人感慨而自杀者，非能勇也，其计画无复之耳。”
计无所出    谓走投无路，无法可想。
计无所施    无法可想。
计无所之    又作：计无所出。
计无由出    同“计无所出”。
计行言听    行其计，听其言。形容十分信任。
计勋行赏    同“计功行赏”。
计研心算    谓精心研究计算。
记功忘过    见“记功忘失”。
记功忘失    谓记其功绩而略其小过。
记问之学    指为应付他人之问难而预为之记诵之学。谓无真知之学。
际地蟠天    《庄子·刻意》：“上际於天，下蟠於地。”后因以“际地蟠天”形容遍及天地间。
际会风云    遭逢到好的际遇。
际遇风云    见“际会风云”。
季布一诺    季布，汉初楚人。楚汉战争中，为项羽部将。后归汉，任河东守。布以任侠著名，重然诺，楚人有“得黄金百斤，不如得季布一诺”之谚。见《史记·季布栾布列传》。后以“季布一诺”为重然诺而不失信用之典。
季常之惧    宋陈慥，字季常，其妻柳氏凶悍而好嫉妒，陈慥颇为惧怕。事见宋洪迈《容斋三笔·陈季常》。后因谓惧内为“季常之惧”。
季孟之间    指季孙氏与孟孙氏之间。《论语·微子》：“齐景公待孔子，曰：‘若季氏，则吾不能；以季孟之间待之。’”何晏集解：“孔曰：鲁三卿，季氏为上卿，最贵；孟氏为下卿，不用事。言待之以二者之间。”后用以借指上等和下等之间。
既来之，则安之    《论语·季氏》：“夫如是，故远人不服，则修文德以来之。既来之，则安之。”本指招徠远人，并加以安抚。后指已经来了，就应该安下心来。
既往不咎    对过去的过错不再责难追究。
济济一堂    形容许多人聚集在一起。
济困扶危    救助处于贫困、危难之境的人。
济窍飘风    语出《庄子·齐物论》：“飘风则大和，厉风济则众窍为虚。”谓大风止则所有的窍孔都空寂无声。后比喻毫无影响与作用的事物。
济人利物    谓救助别人，对世事有益。
济弱扶倾    救助弱小危难者。
继古开今    又作：继往开来。
继继承承    谓前后相承，延续不断。
继继存存    见“继继承承”。
继继绳绳    见“继继承承”。
继往开来    谓继承前人的事业，开辟未来的道路。
寂寂无闻    ①谓毫无声息。②又作：默默无闻，不出名，不为人所知。
寂天寞地    无声无息；不声不响。
寄人篱下    指借居他人门下。亦喻指因袭或依附别人。
寄人檐下    又作：寄人篱下。
寄颜无所    脸面没有地方放。又作：无地自容。
寄雁传书    谓传递书信。
霁风朗月    和风明月。喻宽厚祥和的气氛。
霁月光风    指雨过天晴时的明净景象。用以比喻人的品格高尚，胸襟开阔。
稷蜂社鼠    栖于稷庙的蜂、社庙的鼠。比喻仗势作恶而又难以除掉的坏人。
骥伏盐车    典出《战国策·楚策四》：“夫骥之齿至矣，服盐车而上太行。蹄申膝折，尾湛胕溃，漉汁洒地，白汗交流，中阪迁延，负辕不能上。伯乐遭之，下车攀而哭之，解纻衣以冪之。骥於是俛而喷，仰而鸣，声达於天，若出金石者，何也？欣见伯乐之知己也。”后以“骥伏盐车”谓才华遭到抑制，处境困厄。
加官进爵    晋升官阶爵位。
加官进禄    晋升官位，增加俸禄。
加减乘除    本指算术中四种基本运算法则，借喻万事万物的消长变化。
加人一等    《礼记·檀弓上》：“孟献子禫，县而不乐，比御而不入，夫子曰：‘献子加於人一等矣。’”后以“加人一等”指超过常人。
加膝坠泉    见“加膝坠渊”。
加膝坠渊    比喻用人爱憎无常。坠，古作“队”。语出《礼记·檀弓下》：“今之君子，进人若将加诸膝，退人若将队诸渊。”
加油加醋    为了夸张或渲染的需要，在叙事或转述时，增添原来没有的内容。
加油添醋    同“加油加醋”。
加油添酱    见“加油添醋”。
加枝添叶    在叙事或转述时，于主要事件外，添上原来没有的内容。
夹枪带棒    指言语中暗藏讽刺。
佳儿佳妇    称心的兒子、媳妇。
枷脰械手    又作：枷颈铐手。谓拘系囚犯。
浃背汗流    同“汗流氵夹背”。常用来形容惭愧或惶恐之甚。
浃沦肌髓    见“氵夹髓沦肌”。
浃髓沦肤    见“氵夹髓沦肌”。
浃髓沦肌    亦作“氵夹髓沦肤”。亦作“氵夹沦肌髓”。①深入骨髓，浸透肌肤。②比喻感受、影响之深。
家败人亡    犹家破人亡。
家藏户有    家家都有。
家长礼短    同“家长里短”。
家长里短    谓家务琐事。
家常便饭    见“家常茶饭”。
家常茶饭    家庭中的日常饮食。多用以喻极为平常的事情。
家常里短    犹“家长里短”。
家成业就    谓有了家产。
家丑不可外谈    见“家丑不可外扬”。
家丑不可外扬    家庭内部不体面的事情不应向外人传扬。
家传户诵    家家户户传习诵读。
家传户颂    见“家传户诵”。
家传人诵    见“家传户诵”。
家翻宅乱    见“家烦宅乱”。
家烦宅乱    家中上下不得安宁。形容在家里喧哗吵闹。
家反宅乱    见“家烦宅乱”。
家给人足    家家富足，人人饱暖。
家鸡野鹜    见“家鸡野雉”。
家鸡野雉    晋庾翼善书法，初不服王羲之，遂以家鸡比喻自己的书法，以野雉比喻王氏的书法。《太平御览》卷九一八引《晋书》：“扞庾翼呴书，少时与右军齐名，右军后进，庾犹不分，在荆州与都下人书云：‘小兒辈贱家鸡爱野雉，皆学逸少书，须吾下当比之。’”亦作“家鸡野鹜”。
家骥人璧    喻指优秀人才。
家累千金，坐不垂堂    亦作“家絫千金，坐不垂堂”。谓家财富有的人常自珍爱，不自蹈险地。
家累千金    谓家中极富财产。
家贫如洗    家里穷得一无所有。形容家贫之极。
家破人离    犹家破人亡。
家破人亡    家庭破产，家人死散。
家散人亡    同“家破人亡”。
家徒壁立    犹家徒四壁。
家徒四壁    形容家中贫穷，一无所有。《史记·司马相如列传》：“文君夜亡奔相如，相如乃与驰归成都。家居徒四壁立。”司马贞索隐引孔文祥云：“徒，空也。家空无资储，但有四壁而已。”
家无常礼    谓家人之间平居不必拘礼。
家无担石    谓家中贫乏，存粮极少。
家无儋石    见“家无担石”。
家弦户诵    家家弦歌，户户吟诵。谓流传极其广泛。
家学渊源    家学世代相传，根基深厚。
家殷人足    家家富裕，人人丰足。
家谕户晓    见“家喻户晓”。
家喻户習    家家通晓，户户熟悉。
家喻户晓    亦作“家谕户晓”。每家每户都明白；谓人人皆知。
家贼难防    家庭内部的贼人或内奸最难防范。
家至户察    到每家每户去察看。
家至户到    到每家每户；遍及每家每户。
家至户晓    ①家家户户都知道。②到每家每户去说明白。
嘉言善行    亦作“嘉言善状”。亦作“嘉言懿行”。美善的言行。
嘉言善状    见“嘉言善行”。
嘉言懿行    见“嘉言善行”。
戛釜撞甕    刮磨锅子，碰撞陶器。比喻粗俗之音。
戛戛独造    形容文章别出心裁，富有独创性。
戛然而止    突然停止。多指声音。
戛玉锵金    见“戛玉敲金”。
戛玉敲冰    形容声音清脆或音节铿锵。
戛玉敲金    犹戛玉敲冰。形容声音清脆或音节铿锵。
颊上三毫    同“颊上三毛”。
颊上三毛    南朝宋刘义庆《世说新语·巧艺》：“顾长康画裴叔则，颊上益三毛。人问其故？顾曰：‘裴楷俊朗有识具，正此是其识具。看画者寻之，定觉益三毛如有神明，殊胜未安时。’”后遂用作典故。以“颊上三毛”比喻文章或图画的得神之处。
价等连城    谓价值等于连成一片的许多城池。
价廉物美    谓商品质优而价格便宜。
价值连城    谓价值如连成一片的许多城池。形容物品极珍贵，所值极高。语出《史记·廉颇蔺相如列传》：“赵惠文王时，得楚和氏璧。秦昭王闻之，使人遗赵王书，原以十五城请易璧。”
驾鹤成仙    死的婉称。
驾鹤西游    死的婉称。
驾肩接迹    见“驾肩接武”。
驾肩接武    肩挨肩，脚碰脚。形容人多。
驾轻就熟    语本唐韩愈《送石处士序》：“若驷马驾轻车就熟路，而王良、造父为之先后也。”后用以比喻对所办的事情很熟悉，做起来很轻快。
驾雾腾云    又作：腾云驾雾。
架海金梁    比喻起重要作用的杰出人物。
架海金樑    见“架海金梁”。
架谎凿空    扯谎作假。
架肩击毂    肩膀相挨，车轮相撞。形容行人车辆拥挤。
架肩接踵    肩挨肩，脚碰脚。形容人拥挤。
架屋叠床    屋上架屋，床上叠床。比喻重复累赘。
假公济私    借公家的名义或力量谋取私人的利益。
假公营私    见“假公济私”。
假虎张威    又作：狐假虎威。
假力於人    凭借他人的力量。
假眉三道    方言。装模作样。
假门假氏    见“假门假事”。
假门假事    亦作“假门假氏”。又作：假心假意。
假名托姓    冒充别人姓名。
假人辞色    指好言好语、和颜悦色地待人。
假仁假义    ①虚假的仁义道德。②伪装仁慈善良。
假途灭虢    《左传·僖公五年》记载：晋国向虞国借路去攻打虢国，在灭虢后的回师途中，把虞国也灭了。后以“假途灭虢”泛指以向对方借路为名行灭亡对方之实的计谋。
假戏真做    ①谓戏演得逼真。②泛指把假的事情当作真事来做。
假誉驰声    传播虚假的名声。
嫁狗随狗    同“嫁鸡随鸡，嫁狗随狗”。
嫁狗逐狗    见“嫁狗随狗”。
嫁鸡随鸡，嫁狗随狗    比喻女子出嫁后，不管丈夫如何，都要随从一辈子。
嫁鸡逐鸡    同“嫁鸡随鸡，嫁狗随狗”。
嫁犬逐犬    谓出嫁女子唯夫是从。
稼穑艰难    又作：农事劳苦。语出《书·无逸》：“先知稼穑之艰难，乃逸。”
尖言冷语    谓言语尖刻。
尖嘴薄舌    形容说话尖酸刻薄。
坚壁清野    作战时采用的一种策略。转移或隐藏人口和物资，清除野外可资敌的各种设施，使敌人毫无所得。
坚不可摧    非常坚固，摧毁不了。
坚额健舌    厚颜利口。
坚甲厉兵    加固盔甲，磨砺武器。指作好战斗准备。
坚甲利兵    坚固的盔甲，锐利的兵器。比喻兵力精锐。
坚甲利刃    见“坚甲利兵”。
坚苦卓绝    坚毅刻苦的精神超越寻常。
坚强不屈    坚毅刚强，不屈服。
坚忍不拔    亦作“坚韧不拔”。谓意志坚强，不可动摇。
坚韧不拔    见“坚忍不拔”。
坚如盘石    亦作“坚如磐石”。《文选·古诗十九首》：“良无盘石固，虚名复何有？”李善注引《声类》曰：“盘，大石也。”后以“坚如盘石”形容非常坚固，不可动摇。
坚如磐石    见“坚如盘石”。
坚贞不屈    谓坚守节操不屈服。
坚贞不渝    坚守节操，决不改变。
歼一警百    杀一个人来警戒一批人。
肩背难望    谓难以相比，难以企及。
肩背相望    谓相继而起，连续不断。
肩从齿序    并肩相从，依年齿以序长幼。谓僚友交游。
肩劳任怨    犹任劳任怨。
肩摩毂击    肩相摩，毂相击。形容行人车辆拥挤。语本《战国策·齐策一》：“临淄之途，车毂击，人肩摩，连衽成帷，举袂成幕，挥汗成雨。”
肩摩毂接    肩相摩，毂相接。本形容行人车辆拥挤，后亦借指人才辈出，络绎不绝。
肩摩袂接    人肩相摩，衣袖相接。形容人多拥挤。
肩摩踵接    肩相摩，踵相接。形容行人拥挤。
艰苦奋斗    不怕艰难困苦，进行英勇顽强的斗争。
艰苦朴素    吃苦耐劳，勤俭朴实。
艰苦卓绝    极端的艰难困苦。
艰难竭蹶    生活困苦，难以自立。竭蹶，力竭颠仆。喻生活难以维持。
艰难困苦    处境困难，生活艰苦。
艰难曲折    困难和周折。
艰难险阻    原作“险阻艰难”。指道路行进中的危险、困难、障碍。亦借指所经历的艰险。
兼爱无私    泛爱大众，对人无私心。无，本作“无”。
兼包并容    见“兼容并包”。
兼包并畜    同“兼收并蓄”。
兼官重绂    谓兼任很多显耀官职。
兼葭秋水    比喻思慕的人。兼，同“蒹”。
兼览博照    又作：明察四方。
兼权尚计    谓全面衡量，深思熟虑。语本《荀子·不苟》：“兼权之，孰计之，然后定其欲恶取舍，如是则常不失陷矣。”
兼容并包    谓广泛收罗，将所有各方面都包容在一起。
兼容并蓄    同“兼收并蓄”。
兼弱攻昧    兼并弱国和攻取政治昏乱之国。
兼收并采    广泛收罗采用。
